Season,Rank,Player,Age,Team,Position,Games,GamesStarted,MinutesPlayed,FieldGoalsMade,FieldGoalsAttempted,FieldGoalPercentage,FreeThrowsMade,FreeThrowsAttempted,FreeThrowPercentage,TotalRebounds,Assists,PersonalFouls,Points,Awards
1972-73,152.0,Bill Hewitt,28.0,BUF,PF,73.0,,18.2,2.1,5.0,0.418,0.6,1.0,0.554,5.0,1.5,2.1,4.7,
1972-73,153.0,Kenny McIntosh,24.0,2TM,SF,59.0,0.0,19.3,1.9,5.8,0.337,0.7,1.1,0.597,3.9,0.9,1.7,4.6,
1972-73,153.0,Kenny McIntosh,24.0,CHI,SF,3.0,0.0,11.0,2.7,4.3,0.615,0.0,0.7,0.0,3.0,0.3,1.3,5.3,
1972-73,153.0,Kenny McIntosh,24.0,SEA,SF,56.0,,19.7,1.9,5.9,0.326,0.7,1.2,0.615,4.0,0.9,1.8,4.5,
1972-73,154.0,Mel Counts,31.0,2TM,C,66.0,0.0,10.0,2.0,4.5,0.449,0.6,0.9,0.672,3.8,1.0,1.6,4.6,
1972-73,154.0,Mel Counts,31.0,PHI,C,7.0,0.0,6.7,0.7,2.3,0.313,0.0,0.0,,2.3,0.4,1.1,1.4,
1972-73,154.0,Mel Counts,31.0,LAL,C,59.0,,10.4,2.2,4.7,0.457,0.7,1.0,0.672,4.0,1.1,1.7,5.0,
1972-73,155.0,Dennis Awtrey,24.0,2TM,C,82.0,34.0,20.6,1.8,3.7,0.479,1.0,1.9,0.562,5.5,2.7,2.9,4.6,
1972-73,155.0,Dennis Awtrey,24.0,PHI,C,3.0,2.0,12.3,1.0,2.3,0.429,0.3,1.3,0.25,4.7,0.7,2.7,2.3,
1972-73,155.0,Dennis Awtrey,24.0,CHI,C,79.0,32.0,20.9,1.8,3.8,0.48,1.1,1.9,0.57,5.5,2.8,2.9,4.7,
1972-73,156.0,Jim Davis,31.0,DET,C,73.0,,10.6,1.8,3.5,0.51,1.0,1.6,0.632,3.6,0.8,1.7,4.6,
1972-73,157.0,Paul McCracken,22.0,HOU,SG,24.0,,12.7,1.8,3.7,0.494,1.0,1.6,0.59,2.1,0.7,1.3,4.6,
1972-73,158.0,Steve Kuberski,25.0,BOS,SF,78.0,,9.8,1.8,4.4,0.403,0.8,1.1,0.774,2.5,0.3,1.2,4.4,
1972-73,159.0,LaRue Martin,22.0,POR,C,77.0,,12.9,1.9,4.8,0.396,0.6,1.0,0.649,4.6,0.5,2.1,4.4,
1972-73,160.0,Henry Bibby,23.0,NYK,PG,55.0,0.0,8.6,1.4,3.7,0.38,1.3,1.6,0.849,1.5,1.2,1.2,4.2,
1972-73,161.0,Bob Christian,26.0,ATL,C,55.0,,13.8,1.5,2.8,0.548,1.1,1.4,0.759,5.5,0.9,2.0,4.2,
1972-73,162.0,Jim King,31.0,CHI,SG,65.0,1.0,12.1,1.8,4.0,0.441,0.7,0.8,0.846,1.2,1.2,1.2,4.2,
1972-73,163.0,Mike Ratliff,21.0,KCO,C,58.0,,11.7,1.7,4.1,0.417,0.8,1.4,0.536,3.3,0.7,1.9,4.2,
1972-73,164.0,Paul Westphal,22.0,BOS,SG,60.0,,8.0,1.5,3.5,0.42,1.1,1.4,0.779,1.1,1.2,1.5,4.1,
1972-73,165.0,Joby Wright,22.0,SEA,PF,77.0,,12.1,1.7,3.6,0.478,0.5,1.2,0.416,2.8,0.5,2.1,3.9,
1972-73,166.0,Stan McKenzie,28.0,2TM,SF,33.0,,8.9,1.5,3.6,0.403,0.9,1.1,0.811,1.7,0.7,1.3,3.8,
1972-73,166.0,Stan McKenzie,28.0,POR,SG,7.0,,15.3,1.9,5.1,0.361,2.0,2.3,0.875,3.0,1.1,2.1,5.7,
1972-73,166.0,Stan McKenzie,28.0,HOU,SF,26.0,,7.2,1.3,3.2,0.422,0.6,0.8,0.762,1.3,0.6,1.1,3.3,
1972-73,167.0,Dick Barnett,36.0,NYK,SG,51.0,4.0,10.1,1.7,4.4,0.389,0.3,0.6,0.533,0.8,1.0,1.0,3.8,
1972-73,168.0,Tom Boerwinkle,27.0,CHI,C,8.0,0.0,22.0,1.1,3.0,0.375,1.5,2.5,0.6,6.8,5.0,2.8,3.8,
1972-73,169.0,Travis Grant,23.0,LAL,SF,33.0,,4.6,1.5,3.5,0.44,0.7,0.8,0.885,1.6,0.2,0.6,3.8,
1972-73,170.0,John Tresvant,33.0,BAL,PF,55.0,,9.8,1.5,3.3,0.467,0.7,1.1,0.695,2.8,0.6,1.8,3.8,
1972-73,171.0,Rowland Garrett,22.0,CHI,SF,35.0,0.0,6.0,1.5,3.4,0.441,0.6,0.9,0.677,1.7,0.2,0.8,3.6,
1972-73,172.0,John Gianelli,22.0,NYK,C,52.0,1.0,9.9,1.5,3.4,0.451,0.4,0.6,0.697,2.9,0.5,1.4,3.5,
1972-73,173.0,Toby Kimball,30.0,KCO,PF,67.0,,9.6,1.4,3.3,0.436,0.7,1.0,0.657,2.9,0.4,1.3,3.5,
1972-73,174.0,John Wetzel,28.0,ATL,SG,28.0,,18.0,1.5,3.4,0.447,0.5,0.6,0.824,2.1,1.4,1.5,3.5,
1972-73,175.0,Scott English,22.0,PHO,SF,29.0,,6.8,1.2,3.2,0.387,0.7,1.0,0.724,1.5,0.5,1.3,3.2,
1972-73,176.0,Frank Russell,23.0,CHI,SG,23.0,0.0,5.7,1.3,3.3,0.377,0.7,0.8,0.889,0.7,0.7,0.5,3.2,
1972-73,177.0,John Warren,25.0,CLE,SG,40.0,,7.3,1.4,2.8,0.486,0.5,0.5,0.947,1.1,0.9,1.1,3.2,
1972-73,178.0,Walt Wesley,28.0,2TM,C,57.0,,8.3,1.4,3.5,0.381,0.5,0.8,0.565,2.6,0.5,1.4,3.2,
1972-73,178.0,Walt Wesley,28.0,CLE,C,12.0,,9.2,1.2,3.9,0.298,0.7,1.0,0.667,3.2,0.6,1.8,3.0,
1972-73,178.0,Walt Wesley,28.0,PHO,C,45.0,,8.1,1.4,3.4,0.406,0.4,0.8,0.529,2.5,0.5,1.2,3.2,
1972-73,179.0,Art Williams,33.0,BOS,PG,81.0,,12.0,1.4,3.2,0.421,0.5,0.7,0.768,2.2,2.9,1.7,3.2,
1972-73,180.0,Harold Fox,23.0,BUF,PG,10.0,,8.4,1.2,3.2,0.375,0.7,0.8,0.875,0.8,1.0,0.7,3.1,
1972-73,181.0,Dick Gibbs,24.0,2TM,SF,67.0,,11.0,1.2,3.3,0.36,0.7,0.9,0.746,1.4,0.9,1.7,3.1,
1972-73,181.0,Dick Gibbs,24.0,HOU,SF,1.0,,2.0,0.0,1.0,0.0,0.0,0.0,,0.0,1.0,1.0,0.0,
1972-73,181.0,Dick Gibbs,24.0,KCO,SF,66.0,,11.1,1.2,3.3,0.362,0.7,1.0,0.746,1.4,0.9,1.7,3.1,
1972-73,182.0,Gary Gregor,27.0,MIL,SF,9.0,,9.8,1.2,3.7,0.333,0.6,0.8,0.714,3.6,1.0,1.0,3.0,
1972-73,183.0,Paul Stovall,24.0,PHO,SF,25.0,,8.4,1.0,3.0,0.342,1.0,1.5,0.632,2.4,0.5,1.5,3.0,
1972-73,184.0,John Tschogl,22.0,ATL,SF,10.0,,9.4,1.4,4.0,0.35,0.2,0.4,0.5,2.1,0.6,2.5,3.0,
1972-73,185.0,William Smith,23.0,POR,C,8.0,,5.4,1.1,1.9,0.6,0.6,1.0,0.625,1.0,0.1,1.0,2.9,
1972-73,186.0,Charles Dudley,22.0,SEA,PG,12.0,,8.3,0.8,1.9,0.435,1.2,1.3,0.875,0.5,1.3,1.3,2.8,
1972-73,187.0,Ken Durrett,24.0,KCO,SF,8.0,,8.1,1.0,2.6,0.381,0.8,1.0,0.75,1.8,0.4,2.0,2.8,
1972-73,188.0,Russ Lee,23.0,MIL,SF,46.0,,6.0,1.1,2.8,0.386,0.7,0.9,0.744,0.9,0.8,0.8,2.8,
1972-73,189.0,Eddie Mast,24.0,ATL,PF,42.0,,10.6,1.2,2.8,0.424,0.5,0.7,0.633,3.2,0.9,1.2,2.8,
1972-73,190.0,Steve Patterson,24.0,CLE,C,62.0,,11.5,1.1,3.2,0.359,0.5,1.0,0.523,3.7,0.8,1.3,2.8,
1972-73,191.0,Bob Rule,28.0,2TM,C,52.0,0.0,8.7,1.2,3.0,0.38,0.4,0.6,0.645,2.1,0.7,1.3,2.7,
1972-73,191.0,Bob Rule,28.0,PHI,C,3.0,0.0,4.0,0.0,0.3,0.0,0.0,0.0,,0.7,0.3,0.7,0.0,
1972-73,191.0,Bob Rule,28.0,CLE,C,49.0,,9.0,1.2,3.2,0.382,0.4,0.6,0.645,2.2,0.8,1.3,2.9,
1972-73,192.0,Bob Portman,25.0,GSW,SF,32.0,,5.5,1.0,2.2,0.457,0.6,0.8,0.769,1.6,0.2,0.5,2.6,
1972-73,193.0,Justus Thigpen,25.0,DET,SG,18.0,,5.5,1.3,3.2,0.404,0.0,0.0,,0.5,0.4,1.0,2.6,
1972-73,194.0,Tom Riker,22.0,NYK,C,14.0,0.0,4.6,0.7,1.7,0.417,1.1,1.7,0.625,1.1,0.1,1.1,2.5,
1972-73,195.0,Hank Finkel,30.0,BOS,C,76.0,,6.5,1.0,2.3,0.451,0.4,0.7,0.538,2.0,0.3,1.1,2.4,
1972-73,196.0,Tom Patterson,24.0,BAL,PF,23.0,,4.0,0.9,2.1,0.429,0.6,0.7,0.813,1.0,0.1,0.8,2.4,
1972-73,197.0,Sam Sibert,23.0,KCO,PF,5.0,,5.2,0.8,2.6,0.308,0.8,1.0,0.8,0.8,0.0,0.8,2.4,
1972-73,198.0,George Johnson,25.0,HOU,C,19.0,,8.9,1.1,2.1,0.513,0.2,0.2,0.75,2.4,0.2,1.7,2.3,
1972-73,199.0,Dick Cunningham,26.0,MIL,C,72.0,,9.6,0.9,2.2,0.41,0.4,0.7,0.58,2.9,0.5,1.3,2.2,
1972-73,200.0,Eric McWilliams,22.0,HOU,PF,44.0,,5.6,0.8,2.2,0.347,0.4,0.8,0.486,1.4,0.1,1.0,2.0,
1972-73,201.0,Tom Sanders,34.0,BOS,SF,59.0,,7.2,0.8,2.5,0.315,0.4,0.6,0.657,1.5,0.5,1.4,2.0,
1972-73,202.0,Bill Turner,28.0,2TM,PF,21.0,,6.0,0.9,2.8,0.328,0.2,0.3,0.571,1.3,0.5,0.8,2.0,
1972-73,202.0,Bill Turner,28.0,POR,PF,2.0,,4.0,1.0,3.0,0.333,0.0,0.0,,1.0,0.0,1.5,2.0,
1972-73,202.0,Bill Turner,28.0,LAL,PF,19.0,,6.2,0.9,2.7,0.327,0.2,0.4,0.571,1.3,0.6,0.7,2.0,
1972-73,203.0,Chuck Terry,22.0,MIL,SF,67.0,,10.3,0.8,2.4,0.34,0.3,0.4,0.708,2.2,0.6,1.7,1.9,
1972-73,204.0,Bob Davis,22.0,POR,SF,9.0,,4.6,0.7,3.1,0.214,0.4,0.7,0.667,0.6,0.2,0.6,1.8,
1972-73,205.0,George Johnson,24.0,GSW,C,56.0,,6.2,0.7,1.8,0.41,0.1,0.3,0.412,2.5,0.1,0.7,1.6,
1972-73,206.0,Harthorne Wingo,25.0,NYK,PF,13.0,0.0,4.5,0.7,1.7,0.409,0.2,0.5,0.333,1.2,0.1,0.7,1.5,
1972-73,207.0,Mark Minor,22.0,BOS,SF,4.0,,5.0,0.3,1.0,0.25,0.8,1.0,0.75,1.0,0.5,1.3,1.3,
1972-73,208.0,Bob Nash,22.0,DET,SF,36.0,,4.7,0.4,2.0,0.222,0.3,0.5,0.647,0.9,0.4,0.8,1.2,
1972-73,209.0,Erwin Mueller,28.0,DET,PF,21.0,,3.8,0.4,1.5,0.29,0.2,0.3,0.714,0.7,0.3,0.6,1.1,
1972-73,210.0,Frank Schade,23.0,KCO,PG,9.0,,8.4,0.2,0.8,0.286,0.7,0.7,1.0,0.7,1.1,1.3,1.1,
1972-73,211.0,Roger Brown,22.0,LAL,C,1.0,,5.0,0.0,0.0,,1.0,3.0,0.333,0.0,0.0,1.0,1.0,
1972-73,212.0,Pete Cross,24.0,2TM,C,29.0,,5.4,0.2,0.9,0.24,0.3,0.6,0.444,2.1,0.4,1.0,0.7,
1972-73,212.0,Pete Cross,24.0,KCO,C,3.0,,8.0,0.0,1.3,0.0,0.0,0.0,,1.3,0.0,1.7,0.0,
1972-73,212.0,Pete Cross,24.0,SEA,C,26.0,,5.1,0.2,0.8,0.286,0.3,0.7,0.444,2.2,0.4,0.9,0.8,
1972-73,213.0,Luther Green,26.0,PHI,PF,5.0,0.0,6.4,0.0,2.2,0.0,0.6,1.8,0.333,0.6,0.0,0.6,0.6,
1972-73,214.0,Harvey Marlatt,24.0,DET,SG,7.0,,3.7,0.3,0.6,0.5,0.0,0.0,,0.1,0.6,0.1,0.6,
1972-73,215.0,Luther Rackley,26.0,NYK,C,1.0,0.0,2.0,0.0,0.0,,0.0,0.0,,1.0,0.0,2.0,0.0,
1972-73,,League Average,,,,,,,,,0.456,,,0.758,,,,,
