Season,Rank,Player,Age,Team,Position,Games,GamesStarted,MinutesPlayed,FieldGoalsMade,FieldGoalsAttempted,FieldGoalPercentage,FreeThrowsMade,FreeThrowsAttempted,FreeThrowPercentage,TotalRebounds,Assists,PersonalFouls,Points,Awards
1972-73,58.0,Fred Brown,24.0,SEA,SG,79.0,,29.4,6.0,13.1,0.455,1.5,1.9,0.818,4.0,5.5,2.9,13.5,
1972-73,59.0,Sam Lacey,24.0,KCO,C,79.0,,37.1,6.0,12.6,0.474,1.6,2.3,0.708,11.8,2.4,3.6,13.5,
1972-73,60.0,Lloyd Neal,22.0,POR,C,82.0,,33.2,5.5,11.2,0.494,2.3,3.6,0.638,11.8,1.8,3.7,13.4,ROY-2
1972-73,61.0,Paul Silas,29.0,BOS,PF,80.0,,32.7,5.0,10.6,0.47,3.3,4.8,0.7,13.0,3.1,2.5,13.3,
1972-73,62.0,Wilt Chamberlain,36.0,LAL,C,82.0,,43.2,5.2,7.1,0.727,2.8,5.5,0.51,18.6,4.5,2.3,13.2,"MVP-4,AS"
1972-73,63.0,Don Chaney,26.0,BOS,SG,79.0,,31.5,5.2,10.9,0.482,2.7,3.4,0.787,5.7,2.8,3.5,13.1,
1972-73,64.0,Calvin Murphy,24.0,HOU,PG,77.0,,22.0,4.9,10.6,0.465,3.1,3.5,0.888,1.9,3.4,2.7,13.0,
1972-73,65.0,John Brisker,25.0,SEA,SF,70.0,,23.3,5.0,11.6,0.435,2.8,3.4,0.822,4.6,2.1,2.4,12.8,
1972-73,66.0,Rick Roberson,25.0,CLE,C,62.0,,34.3,5.0,11.4,0.433,2.7,4.7,0.576,11.2,2.2,4.0,12.6,
1972-73,67.0,Wes Unseld,26.0,BAL,C,79.0,,39.1,5.3,10.8,0.493,1.9,2.7,0.703,15.9,4.4,2.1,12.5,"MVP-14,AS"
1972-73,68.0,Leroy Ellis,32.0,2TM,C,79.0,69.0,32.9,5.3,12.3,0.434,1.6,2.0,0.801,9.8,1.8,2.5,12.3,
1972-73,68.0,Leroy Ellis,32.0,LAL,C,10.0,,15.6,1.1,4.0,0.275,0.4,0.5,0.8,3.3,0.3,1.3,2.6,
1972-73,68.0,Leroy Ellis,32.0,PHI,PF,69.0,69.0,35.4,5.9,13.5,0.441,1.8,2.3,0.801,10.8,2.0,2.7,13.7,
1972-73,69.0,Jim Barnett,28.0,GSW,PG,82.0,,27.0,4.8,10.3,0.467,2.2,2.6,0.843,3.1,3.7,1.8,11.8,
1972-73,70.0,Nate Williams,22.0,KCO,SG,80.0,,24.7,5.2,10.9,0.477,1.3,1.7,0.797,4.2,1.6,3.4,11.8,
1972-73,71.0,Otto Moore,26.0,HOU,C,82.0,,33.1,5.1,10.5,0.487,1.5,2.6,0.602,10.6,2.0,2.9,11.7,
1972-73,72.0,Jim Fox,29.0,SEA,C,74.0,,33.0,4.3,8.3,0.515,2.9,3.6,0.808,11.2,2.4,3.2,11.4,
1972-73,73.0,George Trapp,24.0,ATL,PF,77.0,,24.1,4.7,10.7,0.436,1.9,2.5,0.773,5.9,1.6,3.6,11.3,
1972-73,74.0,Manny Leaks,27.0,PHI,C,82.0,63.0,30.9,4.6,11.4,0.404,1.8,2.4,0.72,8.3,1.2,2.3,11.0,
1972-73,75.0,Willis Reed,30.0,NYK,C,69.0,44.0,27.2,4.8,10.2,0.474,1.3,1.8,0.742,8.6,1.8,3.0,11.0,
1972-73,76.0,Don Nelson,32.0,BOS,SF,72.0,,19.8,4.3,9.0,0.476,2.2,2.6,0.846,4.4,1.4,2.2,10.8,
1972-73,77.0,Freddie Boyd,22.0,PHI,PG,82.0,50.0,28.7,4.4,11.3,0.392,1.7,2.4,0.68,2.6,3.7,2.2,10.5,
1972-73,78.0,Clem Haskins,29.0,PHO,SG,77.0,,20.5,4.4,9.5,0.464,1.7,2.0,0.833,2.2,2.6,1.9,10.5,
1972-73,79.0,Jim Washington,29.0,ATL,PF,75.0,,37.8,4.1,9.5,0.432,2.2,3.0,0.728,10.7,2.3,3.4,10.4,
1972-73,80.0,Bill Bridges,33.0,2TM,PF,82.0,10.0,35.0,4.1,8.8,0.461,2.2,3.1,0.702,11.0,2.7,3.6,10.3,
1972-73,80.0,Bill Bridges,33.0,PHI,PF,10.0,10.0,37.6,4.7,12.5,0.376,4.6,6.5,0.708,12.2,2.3,3.5,14.0,
1972-73,80.0,Bill Bridges,33.0,LAL,PF,72.0,,34.6,4.0,8.3,0.479,1.8,2.6,0.7,10.9,2.7,3.6,9.8,
1972-73,81.0,Gar Heard,24.0,2TM,PF,81.0,9.0,19.2,4.3,10.2,0.425,1.4,2.2,0.652,5.6,0.7,2.1,10.1,
1972-73,81.0,Gar Heard,24.0,SEA,PF,3.0,,5.7,1.3,3.0,0.444,0.3,0.3,1.0,2.0,0.7,1.3,3.0,
1972-73,81.0,Gar Heard,24.0,CHI,PF,78.0,9.0,19.7,4.4,10.4,0.425,1.5,2.3,0.65,5.7,0.7,2.1,10.3,
1972-73,82.0,Jerry Sloan,30.0,CHI,SG,69.0,66.0,35.0,4.4,10.6,0.411,1.4,1.9,0.707,6.9,2.2,3.4,10.1,
1972-73,83.0,Dick Garrett,26.0,BUF,SG,78.0,,23.1,4.4,10.4,0.419,1.2,1.4,0.873,2.7,2.8,2.8,10.0,
1972-73,84.0,Ollie Johnson,23.0,POR,SF,78.0,,27.4,3.9,7.9,0.497,2.0,2.6,0.757,5.3,2.6,2.1,9.9,
