Season,Rank,Player,Age,Team,Position,Games,GamesStarted,MinutesPlayed,FieldGoalsMade,FieldGoalsAttempted,FieldGoalPercentage,FreeThrowsMade,FreeThrowsAttempted,FreeThrowPercentage,OffensiveRebounds,DefensiveRebounds,TotalRebounds,Assists,Steals,Blocks,PersonalFouls,Points,Awards
1973-74,148.0,Bob Verga,28.0,POR,SG,21.0,,10.3,2.0,4.4,0.452,1.0,1.5,0.625,0.5,0.3,0.9,0.8,0.6,0.0,1.0,5.0,
1973-74,149.0,LaRue Martin,23.0,POR,C,50.0,,10.8,2.0,4.6,0.435,0.8,1.3,0.636,1.5,2.1,3.6,0.4,0.1,0.5,1.8,4.9,
1973-74,150.0,Louie Nelson,22.0,CAP,SG,49.0,,11.3,1.9,4.4,0.433,1.1,1.5,0.726,0.5,0.9,1.4,1.1,0.6,0.0,1.3,4.9,
1973-74,151.0,Bob Christian,27.0,PHO,C,81.0,,15.4,1.7,3.6,0.486,1.3,1.9,0.702,1.0,3.1,4.2,1.2,0.2,0.4,2.4,4.8,
1973-74,152.0,Mike D'Antoni,22.0,KCO,SG,52.0,,19.0,2.1,5.1,0.402,0.6,0.9,0.702,0.5,1.3,1.8,2.4,1.4,0.3,2.2,4.8,
1973-74,153.0,Ken Durrett,25.0,KCO,SF,45.0,,10.3,1.9,3.9,0.489,0.9,1.5,0.609,0.6,1.1,1.7,0.4,0.3,0.1,1.5,4.8,
1973-74,154.0,Fred Foster,27.0,CLE,SF,58.0,,11.2,1.9,5.0,0.389,0.9,1.1,0.844,0.7,1.1,1.9,1.1,0.3,0.1,1.4,4.8,
1973-74,155.0,Dave Wohl,24.0,2TM,PG,67.0,,15.7,1.8,4.1,0.437,1.1,1.5,0.735,0.2,0.5,0.7,3.5,1.1,0.0,2.0,4.7,
1973-74,155.0,Dave Wohl,24.0,BUF,PG,41.0,,14.8,1.5,3.7,0.4,1.0,1.5,0.7,0.2,0.5,0.7,3.1,0.8,0.0,1.8,4.0,
1973-74,155.0,Dave Wohl,24.0,HOU,PG,26.0,,17.3,2.3,4.9,0.48,1.3,1.6,0.786,0.2,0.5,0.7,4.2,1.7,0.0,2.5,6.0,
1973-74,156.0,Allan Bristow,22.0,PHI,SF,55.0,0.0,11.7,2.0,4.9,0.4,0.8,1.0,0.737,1.2,1.8,3.0,1.7,0.5,0.0,1.2,4.7,
1973-74,157.0,Luke Witte,23.0,CLE,C,57.0,,12.8,1.8,4.3,0.432,0.8,1.1,0.742,1.4,2.6,4.0,0.7,0.1,0.4,1.6,4.5,
1973-74,158.0,Dick Barnett,37.0,NYK,SG,5.0,0.0,11.6,2.0,5.2,0.385,0.4,0.6,0.667,0.2,0.6,0.8,1.2,0.2,0.0,0.4,4.4,
1973-74,159.0,Dave Stallworth,32.0,CAP,SF,45.0,,10.2,1.7,4.2,0.401,1.0,1.2,0.855,1.2,1.6,2.8,0.6,0.6,0.1,1.4,4.4,
1973-74,160.0,Derrek Dickey,22.0,GSW,PF,66.0,,14.1,1.7,3.5,0.494,0.8,1.0,0.773,1.9,3.3,5.1,0.8,0.3,0.2,1.7,4.3,
1973-74,161.0,Howard Komives,32.0,KCO,PG,44.0,,18.9,1.8,4.4,0.406,0.8,0.9,0.868,0.2,0.8,1.0,2.2,0.7,0.1,1.9,4.3,
1973-74,162.0,John Warren,26.0,CLE,SG,69.0,,11.4,1.9,4.2,0.454,0.5,0.6,0.854,0.6,1.2,1.9,0.9,0.4,0.1,1.7,4.3,
1973-74,163.0,Walt Wesley,29.0,CAP,C,39.0,,10.3,1.8,3.9,0.47,0.7,1.1,0.605,1.6,1.9,3.5,0.4,0.2,0.5,1.9,4.3,
1973-74,164.0,Jim Davis,32.0,DET,C,78.0,,12.1,1.5,3.6,0.413,1.2,1.8,0.647,1.3,2.4,3.8,1.1,0.5,0.4,2.0,4.2,
