Season,Rk,Player,Age,Team,Pos,G,MP,FG,FGA,FG%,FT,FTA,FT%,TRB,AST,PF,PTS,Awards
1969-70,140.0,Lamar Green,22.0,PHO,PF,58.0,12.1,1.7,4.0,0.432,0.7,1.2,0.586,4.8,0.3,2.0,4.2,
1969-70,141.0,Jim King,28.0,2TM,PG,34.0,11.5,1.6,3.8,0.411,1.0,1.2,0.805,1.8,1.5,1.4,4.1,
1969-70,141.0,Jim King,28.0,SFW,PG,3.0,35.0,6.3,15.3,0.413,3.7,4.7,0.786,5.3,3.3,2.7,16.3,
1969-70,141.0,Jim King,28.0,CIN,PG,31.0,9.2,1.1,2.7,0.41,0.7,0.9,0.815,1.5,1.4,1.3,2.9,
1969-70,142.0,Bud Ogden,23.0,PHI,SF,47.0,7.6,1.7,3.7,0.477,0.6,0.8,0.692,1.8,0.7,1.3,4.1,
1969-70,143.0,Stan McKenzie,25.0,PHO,SF,58.0,9.1,1.4,3.6,0.393,1.0,1.3,0.795,1.6,0.9,1.2,3.8,
1969-70,144.0,Wally Anderzunas,24.0,CIN,SF,44.0,8.4,1.5,3.8,0.392,0.7,1.0,0.63,1.9,0.2,1.1,3.6,
1969-70,145.0,Dale Schlueter,24.0,SFW,C,63.0,10.9,1.3,2.7,0.491,1.0,1.5,0.619,3.7,0.4,1.7,3.6,
1969-70,146.0,Bill Hosket,23.0,NYK,PF,36.0,6.5,1.3,2.5,0.505,0.7,0.9,0.788,1.8,0.5,1.0,3.3,
1969-70,147.0,Paul Long,25.0,DET,SG,25.0,5.2,1.1,2.5,0.452,1.1,1.5,0.711,0.4,0.7,0.9,3.3,
1969-70,148.0,John Arthurs,22.0,MIL,,11.0,7.8,1.1,3.2,0.343,1.0,1.4,0.733,1.3,1.5,1.4,3.2,
1969-70,149.0,Guy Rodgers,34.0,MIL,PG,64.0,11.7,1.1,3.0,0.356,1.0,1.4,0.744,1.2,3.3,1.1,3.2,
1969-70,150.0,Loy Petersen,24.0,CHI,SG,31.0,7.5,1.1,2.9,0.367,0.8,1.3,0.667,0.8,0.7,0.7,3.0,
1969-70,151.0,Nate Bowman,26.0,NYK,C,81.0,9.2,1.2,2.9,0.417,0.5,1.0,0.519,3.2,0.6,2.3,2.9,
1969-70,152.0,Rod Thorn,28.0,SEA,SG,19.0,5.5,1.1,2.4,0.444,0.8,1.3,0.625,0.8,0.9,0.4,2.9,
1969-70,153.0,Mike Lynn,24.0,LAL,SF,44.0,9.2,1.0,3.0,0.331,0.7,1.1,0.646,1.5,0.7,2.0,2.7,
1969-70,154.0,Bob Greacen,22.0,MIL,SF,41.0,7.1,1.1,2.7,0.404,0.4,0.7,0.643,1.4,0.7,1.2,2.6,
1969-70,155.0,Don May,24.0,NYK,SF,37.0,6.4,1.1,2.7,0.386,0.5,0.5,0.947,1.4,0.5,1.1,2.6,
1969-70,156.0,John Warren,22.0,NYK,SG,44.0,6.2,1.0,2.5,0.407,0.5,0.8,0.686,0.9,0.7,1.2,2.5,
1969-70,157.0,Sam Williams,25.0,MIL,SG,11.0,4.0,1.0,2.2,0.458,0.5,1.0,0.455,0.6,0.3,0.5,2.5,
1969-70,158.0,Al Hairston,24.0,SEA,SG,3.0,6.7,1.0,2.7,0.375,0.3,0.3,1.0,1.7,2.0,1.0,2.3,
1969-70,159.0,Dick Cunningham,23.0,MIL,C,60.0,6.9,0.9,2.4,0.369,0.4,0.6,0.667,2.7,0.5,1.2,2.1,
1969-70,160.0,Grady O'Malley,21.0,ATL,,24.0,4.7,0.9,2.5,0.35,0.3,0.8,0.421,1.1,0.4,0.5,2.1,
1969-70,161.0,George Reynolds,22.0,DET,,10.0,4.4,0.8,1.9,0.421,0.5,0.7,0.714,1.4,1.2,1.0,2.1,
1969-70,162.0,Johnny Baum,23.0,CHI,SF,3.0,4.3,1.0,3.7,0.273,0.0,0.0,,1.3,0.0,0.3,2.0,
1969-70,163.0,Brian Heaney,23.0,BAL,,14.0,5.0,0.9,1.7,0.542,0.1,0.3,0.5,0.3,0.4,1.2,2.0,
1969-70,164.0,Dave Scholz,21.0,PHI,,1.0,1.0,1.0,1.0,1.0,0.0,0.0,,0.0,0.0,0.0,2.0,
1969-70,165.0,Gene Tormohlen,32.0,ATL,C,2.0,5.5,1.0,2.0,0.5,0.0,0.0,,2.0,0.5,1.5,2.0,
1969-70,166.0,Neil Johnson,26.0,PHO,PF,28.0,4.9,0.7,2.1,0.333,0.3,0.4,0.667,1.7,0.4,1.4,1.7,
1969-70,167.0,Rich Niemann,23.0,BOS,C,6.0,3.0,0.3,0.8,0.4,0.3,0.3,1.0,1.0,0.3,1.7,1.0,
1969-70,168.0,Richie Guerin,37.0,ATL,SG,8.0,8.0,0.4,1.4,0.273,0.1,0.1,1.0,0.3,1.5,1.1,0.9,
1969-70,169.0,Bob Cousy,41.0,CIN,PG,7.0,4.9,0.1,0.4,0.333,0.4,0.4,1.0,0.7,1.4,1.6,0.7,
1969-70,170.0,Joe Kennedy,23.0,SEA,SF,14.0,5.9,0.2,2.4,0.088,0.1,0.1,1.0,1.4,0.5,0.5,0.6,
1969-70,171.0,Tom Workman,25.0,DET,,2.0,3.0,0.0,0.5,0.0,0.0,0.0,,0.0,0.0,0.5,0.0,
1969-70,,League Average,,,,,,,,0.46,,,0.751,,,,,
