Season,Rk,Player,Age,Team,Pos,G,MP,FG,FGA,FG%,FT,FTA,FT%,TRB,AST,PF,PTS,Awards
1970-71,1.0,Kareem Abdul-Jabbar,23.0,MIL,C,82.0,40.1,13.0,22.5,0.577,5.7,8.3,0.69,16.0,3.3,3.2,31.7,"MVP-1,AS,NBA1"
1970-71,2.0,Bob Rule,26.0,SEA,C,4.0,35.5,11.8,24.5,0.48,6.3,7.5,0.833,11.5,1.8,3.5,29.8,
1970-71,3.0,John Havlicek,30.0,BOS,SF,81.0,45.4,11.0,24.5,0.45,6.8,8.4,0.818,9.0,7.5,2.5,28.9,"MVP-6,AS,NBA1"
1970-71,4.0,Elvin Hayes,25.0,SDR,C,82.0,44.3,11.6,27.0,0.428,5.5,8.2,0.672,16.6,2.3,2.7,28.7,AS
1970-71,5.0,Dave Bing,27.0,DET,PG,82.0,37.4,9.7,20.9,0.467,7.5,9.4,0.797,4.4,5.0,2.8,27.0,"MVP-3,AS,NBA1"
1970-71,6.0,Jerry West,32.0,LAL,PG,69.0,41.2,9.7,19.6,0.494,7.6,9.1,0.832,4.6,9.5,2.6,26.9,"MVP-2,AS,NBA1"
1970-71,7.0,Lou Hudson,26.0,ATL,SF,76.0,41.0,10.9,22.5,0.484,5.0,6.6,0.759,5.1,3.4,2.4,26.8,AS
1970-71,8.0,Bob Love,28.0,CHI,PF,81.0,43.0,9.4,21.1,0.447,6.3,7.6,0.829,8.5,2.3,3.2,25.2,"MVP-7,AS,NBA2"
1970-71,9.0,Geoff Petrie,22.0,POR,SG,82.0,37.0,9.6,21.6,0.443,5.6,7.3,0.772,3.4,4.8,2.4,24.8,"ROY-1,AS"
1970-71,10.0,Pete Maravich,23.0,ATL,SG,81.0,36.1,9.1,19.9,0.458,5.0,6.2,0.8,3.7,4.4,2.9,23.2,ROY-3
1970-71,11.0,Billy Cunningham,27.0,PHI,SF,81.0,38.1,8.7,18.8,0.462,5.6,7.7,0.734,11.7,4.9,4.0,23.0,"MVP-9,AS,NBA1"
1970-71,12.0,Tom Van Arsdale,27.0,CIN,SF,82.0,38.4,9.1,20.0,0.456,4.6,6.4,0.721,6.1,2.2,3.6,22.9,AS
1970-71,13.0,Chet Walker,30.0,CHI,SF,81.0,36.1,8.0,17.3,0.465,5.9,6.9,0.859,7.3,2.2,2.3,22.0,AS
1970-71,14.0,Dick Van Arsdale,27.0,PHO,SG,81.0,39.0,7.5,16.6,0.452,6.8,8.4,0.811,3.9,4.1,3.0,21.9,AS
1970-71,15.0,Walt Frazier,25.0,NYK,PG,80.0,43.2,8.1,16.5,0.494,5.4,7.0,0.779,6.8,6.7,3.0,21.7,"AS,NBA2"
1970-71,16.0,Earl Monroe,26.0,BAL,PG,81.0,35.1,8.2,18.5,0.442,5.0,6.2,0.802,2.6,4.4,2.7,21.4,AS
1970-71,17.0,Archie Clark,29.0,PHI,PG,82.0,39.6,8.1,16.3,0.496,5.1,6.5,0.787,4.8,5.4,2.6,21.3,
1970-71,18.0,Jo Jo White,24.0,BOS,PG,75.0,37.2,9.2,19.9,0.464,2.9,3.6,0.799,5.0,4.8,3.4,21.3,AS
1970-71,19.0,Connie Hawkins,28.0,PHO,SF,71.0,37.5,7.2,16.6,0.434,6.4,7.9,0.816,9.1,4.5,2.8,20.9,AS
1970-71,20.0,Willis Reed,28.0,NYK,C,73.0,39.1,8.4,18.2,0.462,4.1,5.2,0.785,13.7,2.0,3.1,20.9,"MVP-4,AS,NBA2"
1970-71,21.0,Jeff Mullins,28.0,SFW,SG,75.0,38.8,8.4,17.4,0.482,4.0,4.8,0.844,4.5,4.4,3.3,20.8,AS
1970-71,22.0,Wilt Chamberlain,34.0,LAL,C,82.0,44.3,8.1,15.0,0.545,4.4,8.2,0.538,18.2,4.3,2.1,20.7,AS
1970-71,23.0,Spencer Haywood,21.0,SEA,PF,33.0,35.2,7.9,17.5,0.449,4.8,6.6,0.734,12.0,1.5,2.5,20.6,
1970-71,24.0,Stu Lantz,24.0,SDR,SG,82.0,37.8,7.1,15.9,0.448,6.3,7.9,0.806,5.0,4.2,2.8,20.6,
1970-71,25.0,Bob Kauffman,24.0,BUF,C,78.0,35.6,7.9,16.8,0.471,4.6,6.2,0.74,10.7,4.5,3.4,20.4,AS
1970-71,26.0,Don May,25.0,BUF,SF,76.0,35.1,8.3,17.6,0.471,3.6,4.6,0.791,7.5,2.0,2.9,20.2,
1970-71,27.0,Nate Thurmond,29.0,SFW,C,82.0,40.9,7.6,17.1,0.445,4.8,6.6,0.73,13.8,3.1,2.3,20.0,MVP-8
1970-71,28.0,Lenny Wilkens,33.0,SEA,PG,71.0,37.2,6.6,15.8,0.419,6.5,8.1,0.803,4.5,9.2,2.8,19.8,AS
1970-71,29.0,Oscar Robertson,32.0,MIL,PG,81.0,39.4,7.3,14.7,0.496,4.8,5.6,0.85,5.7,8.2,2.5,19.4,"MVP-5,AS,NBA2"
1970-71,30.0,Dick Snyder,26.0,SEA,SG,82.0,34.4,7.9,14.8,0.531,3.7,4.4,0.837,3.1,4.3,3.0,19.4,
1970-71,31.0,Jerry Lucas,30.0,SFW,PF,80.0,40.6,7.8,15.6,0.498,3.6,4.6,0.787,15.8,3.7,2.5,19.2,AS
1970-71,32.0,Jack Marin,26.0,BAL,SF,82.0,35.6,7.6,16.6,0.46,3.5,4.2,0.848,6.3,2.6,3.2,18.8,
1970-71,33.0,Hal Greer,34.0,PHI,SG,81.0,37.8,7.3,16.9,0.431,4.0,5.0,0.805,4.5,4.6,3.6,18.6,
1970-71,34.0,Happy Hairston,28.0,LAL,PF,80.0,36.5,7.2,15.4,0.466,4.2,5.4,0.782,10.0,2.1,3.2,18.6,
1970-71,35.0,Jim Barnett,26.0,POR,SG,78.0,30.4,7.2,16.4,0.436,4.2,5.2,0.811,4.8,4.1,2.4,18.5,
1970-71,36.0,Bob Dandridge,23.0,MIL,SF,79.0,36.2,7.5,14.8,0.509,3.3,4.8,0.702,8.0,3.5,3.6,18.4,
1970-71,37.0,Jerry Sloan,28.0,CHI,SG,80.0,39.3,7.4,16.8,0.441,3.5,4.9,0.715,8.8,3.5,3.6,18.3,
1970-71,38.0,Gus Johnson,32.0,BAL,PF,66.0,38.5,7.5,16.5,0.453,3.2,4.4,0.738,17.1,2.9,3.4,18.2,"MVP-10,AS,NBA2"
1970-71,39.0,Clem Haskins,27.0,PHO,PG,82.0,33.7,6.9,15.6,0.44,4.1,5.3,0.784,4.0,4.7,2.5,17.8,
1970-71,40.0,Walt Wesley,26.0,CLE,C,82.0,29.6,6.9,15.1,0.455,4.0,5.8,0.687,8.7,1.0,3.6,17.7,
1970-71,41.0,Jimmy Walker,26.0,DET,SG,79.0,35.0,6.6,15.2,0.436,4.4,5.2,0.831,2.6,3.4,2.2,17.6,
1970-71,42.0,Gail Goodrich,27.0,LAL,SG,79.0,35.5,7.1,14.9,0.475,3.3,4.3,0.77,3.3,4.8,3.3,17.5,
1970-71,43.0,Dave Cowens,22.0,BOS,C,81.0,38.0,6.8,16.1,0.422,3.4,4.6,0.732,15.0,2.8,4.3,17.0,ROY-1
1970-71,44.0,Johnny Green,37.0,CIN,PF,75.0,28.6,6.7,11.4,0.587,3.3,5.4,0.617,8.7,1.2,3.1,16.7,AS
1970-71,45.0,John Johnson,23.0,CLE,SF,67.0,34.5,6.5,15.4,0.422,3.6,4.4,0.805,6.8,4.8,3.7,16.6,AS
1970-71,46.0,Walt Hazzard,28.0,ATL,PG,82.0,35.1,6.3,13.7,0.459,3.8,5.1,0.759,3.7,6.3,3.4,16.5,
1970-71,47.0,Tiny Archibald,22.0,CIN,PG,82.0,35.0,5.9,13.4,0.444,4.1,5.4,0.757,3.0,5.5,2.7,16.0,
1970-71,48.0,Norm Van Lier,23.0,CIN,SG,82.0,40.5,5.8,13.9,0.42,4.4,5.4,0.816,7.1,10.1,4.2,16.0,
1970-71,49.0,Leroy Ellis,30.0,POR,C,74.0,34.9,6.6,14.8,0.443,2.8,3.5,0.801,12.3,3.2,3.5,15.9,
1970-71,50.0,Jon McGlocklin,27.0,MIL,SG,82.0,35.3,7.0,13.1,0.535,1.8,2.0,0.862,2.7,3.7,2.3,15.8,
1970-71,51.0,Calvin Murphy,22.0,SDR,PG,82.0,24.6,5.7,12.5,0.458,4.3,5.3,0.82,3.0,4.0,3.2,15.8,ROY-4
1970-71,52.0,Dave DeBusschere,30.0,NYK,PF,81.0,35.7,6.5,15.3,0.421,2.7,3.9,0.696,11.1,2.7,2.9,15.6,AS
1970-71,53.0,Bob Lanier,22.0,DET,C,82.0,24.6,6.1,13.5,0.455,3.3,4.6,0.726,8.1,1.8,3.3,15.6,ROY-5
1970-71,54.0,Dick Barnett,34.0,NYK,SG,82.0,34.7,6.6,14.4,0.456,2.4,3.4,0.694,2.9,2.7,2.8,15.5,
1970-71,55.0,Bingo Smith,24.0,CLE,SG,77.0,30.3,6.4,14.4,0.448,2.3,3.0,0.761,5.6,3.4,2.3,15.2,
1970-71,56.0,Kevin Loughery,30.0,BAL,SG,82.0,27.6,5.9,14.5,0.403,3.4,4.0,0.831,2.7,3.7,3.0,15.1,
1970-71,57.0,Walt Bellamy,31.0,ATL,C,82.0,35.5,5.3,10.7,0.493,4.1,6.8,0.604,12.9,2.8,3.3,14.7,
1970-71,58.0,Don Kojis,32.0,SEA,SF,79.0,27.1,5.7,12.9,0.446,3.2,4.1,0.778,5.5,1.6,2.8,14.6,
1970-71,59.0,Ron Williams,26.0,SFW,PG,82.0,34.3,5.2,11.9,0.436,4.0,4.8,0.844,3.0,5.9,3.7,14.4,
